University Admission year,Do you have meritorious scholarship ?,Do you use University transportation?,What is your preferable learning mode?,Do you have personal Computer?,Do you have any health issues?,Are you engaged with any co-curriculum activities?,How many hour do you study daily?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,What is your current CGPA?
2021,1,1,0,1,1,0,2,2,47,0,0,1,2.68,0,36,40000,3.15
2021,1,1,0,1,1,0,1,1,55,0,0,0,2.68,0,36,20000,3.15
2021,0,0,0,1,1,1,3,1,64,0,0,0,2.68,0,50,22000,3.15
2019,0,1,1,1,2,0,3,1,50,1,0,1,2.68,0,126,45000,3.15
2020,0,1,0,1,1,0,4,3,55,0,0,1,2.68,0,88,40000,3.15
2022,1,1,0,1,2,0,2,5,55,0,0,1,2.68,0,11,50000,3.15
2020,1,0,0,1,1,0,3,4,55,0,0,1,2.68,0,88,50000,3.15
2018,0,0,0,1,1,0,2,6,53,1,0,1,2.68,0,112,30000,3.15
2022,1,0,0,1,1,0,3,1,61,0,0,1,2.68,0,11,40000,3.15
2021,1,0,0,0,1,1,1,1,61,0,0,1,3.5,0,35,30000,3.58
2021,1,1,0,1,1,1,4,1,55,0,0,0,3.38,0,27,40000,3.82
2020,0,0,0,1,1,0,2,1,55,1,1,1,2.68,0,88,30000,3.15
2019,0,0,1,1,1,0,9,1,53,1,0,0,2.68,0,113,62488,3.15
2022,1,1,0,1,1,1,3,2,2,0,0,1,2.68,0,11,35000,3.15
2022,1,0,0,1,1,0,1,10,45,1,0,0,2.68,0,36,100000,3.15
2021,1,0,0,1,1,0,3,3,45,0,0,1,2.68,0,36,30000,3.15
2019,0,0,0,1,1,1,2,3,57,1,0,1,1.89,0,86,20000,2.69
2021,1,0,0,0,1,1,7,3,55,0,0,1,3.7,0,35,62488,3.77
2022,1,0,0,1,1,1,4,2,61,0,0,1,2.68,0,11,30000,3.15
2022,1,0,0,1,1,0,5,3,61,0,0,0,2.68,0,11,20000,3.15
2019,1,0,0,1,2,0,2,2,36,1,0,0,0.0,0,91,30000,2.53
2019,0,1,1,0,2,0,3,2,65,0,0,1,2.68,0,100,20000,3.15
2018,0,0,0,1,1,1,2,4,20,1,1,1,2.2,0,110,60000,2.66
2017,1,0,0,1,2,0,1,4,2,1,0,1,2.6,0,90,62488,2.6
2019,0,1,0,1,2,0,3,3,61,0,0,1,2.7,0,120,150000,2.91
2018,0,0,1,1,1,1,2,1,55,1,1,1,2.87,0,120,30000,2.99
2021,0,0,0,1,1,0,4,1,61,1,0,0,2.68,0,50,25000,3.15
2019,0,1,1,1,1,1,2,4,36,0,0,1,2.68,0,100,200000,3.15
2015,0,0,0,1,2,0,1,1,50,1,0,0,2.68,1,77,50000,3.15
2019,0,0,1,1,1,0,3,1,65,0,0,0,2.68,0,100,40000,3.15
2019,0,1,0,1,2,1,1,1,36,0,0,0,2.7,0,76,15000,2.92
2019,0,1,0,1,1,0,2,1,39,0,0,1,2.68,0,126,75000,3.15
2019,0,0,1,1,2,0,2,1,2,1,1,1,2.68,0,126,40000,3.15
2018,0,1,0,1,2,0,3,1,36,1,0,0,2.98,1,118,20000,2.96
2019,0,0,0,1,1,0,1,2,40,0,0,1,2.68,0,126,40000,3.15
2021,1,0,0,1,2,1,5,7,45,0,0,0,2.68,0,11,62488,3.15
2019,0,0,0,1,1,0,6,2,53,0,0,1,2.68,0,100,62488,3.15
2019,0,0,0,1,1,0,3,2,65,0,0,0,3.52,0,100,15000,2.9
2020,1,1,0,1,1,1,4,3,2,0,0,1,3.48,0,68,20000,3.08
2016,1,1,1,1,1,1,2,3,55,1,0,1,2.68,0,126,63000,3.15
2019,1,1,1,1,1,0,1,3,45,0,0,0,2.68,0,126,50000,3.15
2020,0,0,1,1,1,0,2,5,55,1,0,0,2.68,0,65,40000,3.15
2018,0,0,1,1,1,1,6,2,3,1,0,1,3.16,0,121,60000,2.68
2021,0,0,0,1,1,0,2,1,52,1,0,1,1.92,0,39,60000,2.42
2021,0,1,0,1,2,0,2,2,45,0,0,1,2.68,0,36,30000,3.15
2015,0,1,1,1,1,0,5,6,20,1,0,1,2.68,0,113,7000,3.15
2019,0,0,1,1,1,0,8,4,65,0,0,1,2.68,0,126,20000,3.15
2022,0,1,0,1,1,0,3,1,65,0,0,0,2.68,0,11,20000,3.15
2020,0,1,0,1,1,0,1,5,36,1,0,1,2.68,0,77,20000,3.15
2022,1,1,1,1,1,1,7,1,2,0,0,1,2.68,0,11,30000,3.15
2018,0,0,0,1,1,0,2,1,40,1,1,1,2.68,0,136,35000,3.15
2020,1,0,0,1,1,0,6,6,2,0,0,1,2.68,0,88,62488,3.15
2017,0,0,0,1,1,0,2,1,2,0,0,1,2.68,0,88,60000,3.15
2022,0,1,0,0,1,0,4,2,53,0,0,1,2.68,0,11,60000,3.15
2021,1,1,0,1,1,1,2,2,45,0,0,1,2.68,0,36,50000,3.15
2015,0,1,1,1,2,1,2,3,45,1,1,0,2.68,0,77,30000,3.15
2019,0,1,0,1,1,0,5,3,55,0,0,1,3.29,0,114,28000,3.23
2019,0,1,0,1,1,1,3,3,2,0,0,1,2.68,0,126,60000,3.15
2017,0,0,0,1,1,0,2,1,2,1,0,1,2.68,0,136,90000,3.15
2017,0,0,1,1,1,0,3,3,45,1,0,1,2.68,0,113,200000,3.15
2020,0,0,0,1,1,1,4,1,2,0,0,0,2.68,0,88,50000,3.15
2019,0,1,0,1,2,0,3,5,45,1,0,0,2.0,0,77,4000,2.22
2022,1,1,0,1,1,0,3,3,55,0,0,1,2.68,0,11,40000,3.15
2019,0,0,0,1,2,0,5,3,45,1,0,1,3.3,0,105,80000,3.24
2019,0,1,1,1,2,0,3,2,55,0,0,1,2.68,0,113,35000,3.15
2019,0,0,1,1,1,0,1,12,55,0,0,1,3.01,0,79,65000,2.76
2018,0,0,0,1,1,0,4,2,63,0,0,1,2.68,0,136,20000,3.15
2019,0,0,0,1,1,0,3,3,61,0,0,1,3.2,0,103,40000,3.3
2018,0,0,1,1,1,1,3,2,45,1,0,1,2.68,0,136,100000,3.15
2022,1,0,0,1,1,0,4,6,55,0,0,1,2.68,0,11,50000,3.15
2018,1,0,0,1,1,0,1,1,55,0,0,0,2.68,0,136,20000,3.15
2022,1,1,0,1,1,1,3,4,55,0,0,1,2.68,0,11,30000,3.15
2020,0,1,0,1,1,1,3,4,12,1,1,1,2.4,0,70,60000,2.4
2020,0,0,1,1,1,1,4,2,55,0,0,0,2.68,0,88,50000,3.15
2021,1,1,0,1,1,1,4,2,55,0,0,0,2.16,0,35,40000,2.75
2019,1,0,0,1,1,0,8,3,55,0,0,1,2.68,0,100,40000,3.15
2020,1,1,0,1,1,1,5,2,19,1,0,1,2.68,0,88,12000,3.15
2021,0,0,0,1,1,0,5,2,63,1,0,1,0.0,0,46,50000,2.31
2021,0,1,0,1,2,0,2,3,45,0,0,0,1.75,1,50,50000,2.51
2020,0,0,0,0,1,0,4,4,55,0,0,1,2.68,0,88,10000,3.15
2020,0,0,0,1,1,0,2,4,55,1,0,0,2.68,0,88,50000,3.15
2022,1,0,1,1,1,0,3,0,57,0,1,1,2.68,0,11,100000,3.15
2019,0,0,1,1,2,1,6,2,2,0,0,0,2.68,0,88,30000,3.15
2020,1,1,0,1,1,0,2,4,53,0,0,0,2.68,0,88,40000,3.15
2022,1,1,0,1,1,1,1,6,61,0,0,0,2.68,0,0,50000,3.15
2020,0,0,0,1,1,0,3,2,64,0,0,1,2.6,0,75,500000,2.81
2021,1,0,0,1,1,0,7,1,55,0,0,0,3.33,0,33,40000,3.5
2021,0,0,0,1,1,1,3,2,55,0,0,0,4.0,0,34,40000,3.92
2021,1,1,0,1,1,1,6,2,2,0,0,1,3.25,0,11,30000,3.25
2019,1,0,0,1,1,1,1,1,2,0,0,1,3.46,0,102,40000,3.1
2022,1,0,0,1,1,0,1,2,50,0,0,0,3.73,0,11,20000,3.73
2014,0,1,1,1,1,0,3,1,2,1,0,1,2.0,0,80,25000,2.0
2019,1,1,0,1,1,1,2,5,45,0,0,1,3.78,0,132,20000,3.56
2017,1,1,0,1,1,1,6,1,2,0,0,1,3.42,0,136,50000,3.02
2018,0,0,1,1,2,0,4,5,61,1,0,1,3.5,0,122,15000,3.2
2022,1,0,0,1,1,1,2,3,55,0,0,1,3.26,0,11,22000,3.26
2022,1,1,0,1,1,0,2,2,36,1,0,0,3.9,0,12,25000,3.8
2019,1,1,1,1,1,0,2,5,61,0,0,0,3.7,0,105,50000,3.68
2019,0,0,0,1,1,0,3,3,2,0,0,0,3.82,0,78,30000,3.65
2019,1,0,0,1,1,1,5,5,65,0,0,0,3.85,0,126,100000,3.72
2016,0,1,0,1,1,1,2,3,61,1,0,1,3.1,0,133,20000,2.84
2022,1,0,1,0,1,0,2,6,55,0,0,1,2.67,0,12,35000,2.67
2019,0,1,0,1,1,0,3,1,45,0,0,0,3.82,0,84,30000,3.6
2022,1,1,0,1,1,1,4,2,2,0,0,0,3.72,0,11,40000,3.72
2019,0,1,0,1,1,0,2,2,55,0,0,1,3.51,0,125,40000,3.56
2020,0,0,1,0,2,0,8,4,55,0,0,1,3.48,0,75,40000,3.35
2019,0,0,0,1,1,0,3,20,55,0,0,1,2.65,0,121,50000,2.99
2019,0,1,1,1,1,1,6,2,2,0,0,1,3.72,0,131,62488,3.42
2021,1,0,1,0,1,0,3,3,50,1,0,1,1.96,0,11,62488,1.96
2019,1,1,0,1,1,1,2,1,61,0,0,1,3.38,0,120,50000,3.6
